comman,text,label
ترحيب بظهور أشهر عارضات الأزياء الممتلئات في العالم من دون رتوش,التنمر بأشهر عارضات الأزياء الممتلئات في العالم,0
في ٤ أشهر: الدولار يرتفع لأعلى مستوى,الدولار يهبط لأدنى مستوى في ٤ أشهر,0
التوصل إلى اتفاق بشأن دخول قوات سورية إلى عفرين,القوات السورية تدخل عفرين بعد الوصول لاتفاق بشأن ذلك,1
تحذيرات دولية بشأن معاناة الأطفال النازحين من الغوطة الشرقية وعفرين,منظمات دولية تعلن تحذيرها بخصوص معاناة الأطفال النازحين من الغوطة و عفرين,1
بدء التحقيقات مع المتهمين بقضايا الفساد في السعودية,النيابة السعودية تؤجل التحقيق مع المتهمين بالضلوع في قضايا الفساد,0
اتفاق لاجلاء مقاتلين ومدنيين من دوما في الغوطة الشرقية,فشل الاتفاق باجلاء مقاتلين و مدنيين من دوما في الغوطة الشرقية,0
ليبيا ترفض خطة أوروبية لفتح مراكز للمهاجرين على أراضيها,سهلت ليبيا طرق الهجرة إليها بشكل ملحوظ,0
اتفاقية امتياز بين أدنوك الإماراتية وأو إم في النمساوية,فض اتفاق ثنائي حول النفطالإماراتي مع النمسا,0
جورج كلوني يصاب في حادث سير في إيطاليا,إصابة الفنان جورج كلوني إثر حادث سير في إيطاليا,1
تركيا ترى في انسحاب أميركا من الاتفاق النووي فرصة لها,تضرر تركي جراء تضعضع الاتفاق النووي,0
واشنطن تدرس إعفاءات للدول التي تتخلى عن النفط الإيراني,أميركا تهدد بمقاطعة دول تخرق العقوبات الإيرانية,0
سوريات يتعرضن للاستغلال الجنسي مقابل الحصول على مساعدات إنسانية,سوريا: تعرض سيدات للاستغلال الجنسي من أجل الحصول على مساعدات إنسانية,1
اكتشاف نفطي جديد في مصر من قبل  إيني الإيطالية ,إيني الإيطالية تعلن عن كشف نفطي جديد في السودان,0
القضاء المغربي يصدر حكما بسجن الزفزافي 20 عاما,أصدر القضاء المغربى حكما بسجن الزفزافى لمدة 20 عاما,1
الذهب إلى أدنى مستوى والدولار يواصل الصعود,الذهب يهبط والدولار يواصل صعوده,1
منذ ٢٠١٢: الأميركيون يسجلون أعلى مستوى في شرب القهوة,انخفاض الإقبال على احتساء القهوة بين الأميركيين,0
ترقب بعد فشل مفاوضات أميركية صينية,جولة المفاوضات بين أميركا والصين تنجح,0
مخاوف سياسية ترفع سعر الذهب,هبوط الذهب بالتزامن مع استقرار سياسي,0
إيران تتحايل على العقوبات بشحنات نفط سرية,شحنات نفط معلنة تنقذ إيران,0
هشام عشماوي: ضابط صاعقة سابق وأخطر المطلوبين,هشام عشماوي من ضابط صاعقة سابق إلى أخطر المطلوبين,1
انخفاض أسعار الذهب مع تعافي الدولار,تعافي الدولار يصعد بالذهب,0
استدعاء آلاف سيارات بورشه الرياضية,انبعاثات ضارة وراء استدعاء آلاف السيارات الرياضية  بورشه,1
مجلس سوريا الديمقراطية: نعمل مع الحكومة على خارطة طريقة نحو دولة لا مركزية,الأمم المتحدة تفرض عقوبات على أطراف تتعامل مع كوريا الشمالية,other
احتجاجات العراق: العبادي يضع قوات الجيش والأمن في حالة تأهب قصوى,العبادي: الجيش والأمن العراقي على أهبة الاستعداد في ظل احتجاجات العراق,1
استفتاء حلايب يلغي مقابلة لوزير خارجية مصر مع قناة روسية,وزير خارجية مصر يجري مقابلة مع قناة روسية,0
سوريا: بعد إخلاء كفريا والفوعة إدلب بلا شيعة,إدلب بلا شيعة بعد إخلاء كفريا والفوعة,1
خامنئي يدعم عرقلة صادرات النفط من دول الجوار ردا على العقوبات الأمريكية,أعلن خامئني عن تأييده التام في منع تصدير النفط بسبب العقوبات الأمريكية,1
الليرة التركية تتهاوى إثر التلويح الأميركي,الليرة التركية ترتفع بشكل غير مسبوق,0
9 معلومات مهمة عن مضيق هرمز الذي هددت إيران بإغلاقه,أعلنت إيران عن عزمها بغلق مضيق هرمز,1
غرق العشرات قرب ليبيا,نجاة العشرات من الغرق قرب سواحل ليبيا,0
29 قتيلا في هجوم على استعراض عسكري إيراني في الأهواز وروحاني يتعهد برد ساحق,53 قتيلا في هجوم على استعراض عسكري إيراني في الأهواز وروحاني يتعهد برد ساحق,0
أعلنت إسرائيل عن توقيع صفقة لتصدير الغاز إلى مصر و تصفها بالتاريخية,إسرائيل تفشل فى الحصول على توقيع صفقة الغاز,0
التحرش الجنسي في المغرب... وإتقان فن التخفي,التخفي و علاقته بظاهرة التحرش الجنسي في المغرب,1
صفقة انتقال رونالدو تتسبب بإضراب عمال فيات,فيات تضرب والسبب صففة انتقال رونالدو,1
صدمة في الأوساط الفنية بسبب وفاة الدي جي السويدي افيتشي المفاجئة,الأوساط الفنية تصتدم بخبر وفاة الدي جي السويدي افيتشي,1
بعض الأماكن في السعودية و عُمان توضع على قائمة مواقع اليونسكو الجديدة للتراث العالمي,مواقع في الإمارات على قائمة مواقع اليونسكو الجديدة للتراث العالمي,0
الدولار يرتفع لأعلى مستوى في 4 أشهر,الدولار يهبط لأدنى مستوى في ٤ أشهر,0
مصر والإمارات.. شراكة استراتيجية لتطوير الأداء الحكومي,تطوير الأداء الحكومي في تعاون مصري إماراتي جديد,1
حزمة اقتصادية قيمتها 50 مليار درهم تطلقها أبوظبي,حزمة اقتصادية قيمتها 50 مليون درهم تطلقها أبوظبي,0
النفط يهبط بفعل مخاوف من زيادة إنتاج أوبك,إنتاج أوبك المرتفع يهبط بسعر النفط,1
أوروبا تضم الصحراء لمفاوضات الصيد مع المغرب,إدراج للصحراء في اتفاق اوروبا مع المغرب للصيد,1
إيران تعلن حالة الاستنفار بين قوات الطوارئ بعد مصرع 66 في تحطم طائرة مدنية,هدوء الأوضاع فى إيران بعد حادث تحطم الطائرة,0
مخزونات الخام الأميركية تهبط بأعلى وتيرة في 10 أسابيع,الخام الاميركي يهبط لأدنى مستوى منذ عدة أسابيع,1
هبوط في المخزونات الأميركية يقفز بالنفط,النفط يهبط تزامناً مع ارتفاع مخزونات الخام الأميركي,0
حرب رسوم جمركية تهدد التجارة العالمية .. ماذا يحدث؟,التجارة العالمية آمنة رغم الرسوم الجمركية,0
لوحة عملاقة في نيويورك تدافع عن رسامة محبوسة في تركيا,لوحة عملاقة لدافنشي في نيويورك دفاعا عن رسامة خلف القضبان في تركيا,1
زيارة مستشار ترامب لمصر و قطر استعدادا للإعلان صفقة القرن,مستشار ترامب يلغي زيارته لمصر و قطر,0
تعرف على رحلة حقانى من الجهاد ضد الروس إلى ألد أعداء أمريكا,حقانىي يتعاون مع روسيا و أمريكا,0
سوريا: اجتماع طارئ لمجلس الأمن حول درعا وانقسام في المعارضة حول المصالحة,اجتماع طارئ لمجلس الأمن حول درعا السورية و انقسام حول المصالحة,1
لبنان يبدأ التنقيب عن النفط والغاز,بدء التنقيب عن نفط وغاز لبنان,1
توتال تسعى لتوسيع بؤرة التنقيب قرب قبرص رغم تهديدات تركيا,توتال تسعى لتوسيع بؤرة التنقيب قرب قبرص رغم تهديدات مصر,0
هل بدأ عصر الغاز الطبيعي؟,بدء عصر الغاز الطبيعي,1
أوبك: الطلب النفطي يصل 100 مليون برميل يوميا قريبا,الطلب اليومي على النفط يقارب مائة مليون برميل,1
وزير الدفاع الإسرائيلي أفيغدور ليبرمان يدعو للتوسع في الاستيطان لوقف هجمات الفلسطينيين,وزير الدفاع الإسرائيلي يعلن وقف الاستيطان,0
إسرائيل تتراجع عن خطة لترحيل عشرات الآلاف من المهاجرين الأفارقة غير الشرعيين,البيت الأبيض يدين عباس لنعته السفير الأمريكي لإسرائيل بـ ابن الكلب,other
إعلان ترامب يرفع النفط بنسب طفيفة,النفط يتراجع بعد إعلان ترامب,0
إسقاط الجنسية المصرية عن شقيقين حصلا على الجنسية الإسرائيلية,مصر تسقط جنسيتها عن شقيقين حصلا على الجنسية الإسرائيلية,1
مسيرات العودة الكبرى: مواجهات دامية على حدود غزة بين الجيش الإسرائيلي ومتظاهرين فلسطينيين,هدوء بين الجيش الإسرائيلي ومتظاهرين فلسطينيين على حدود غزة,0
إسرائيل تعلن أنه لا يوجد تغيير في قواعد الاشتباك عند حدود غزة,إسرائيل تعلن تغيير كبير في قواعد الاشتباك عند حدود غزة,0
مقتل روسييْن في ضربات جوية أمريكية في سوريا,ضربات جوية أمريكية تؤدي لمقتل روسيين في سوريا,1
تراجع النفط مع إشارة التخفف الروسية,توجه روسيا لتخفيف القيود على الإنتاج يخفض أسعار النفط,1
الليرة التركية مربوطة بلسان أردوغان,استقرار الليرة التركية,0
إشادة من النقد الدولي بإصلاحات مصر الاقتصادية,إشادة من النقد الدولي بإصلاحات سوريا الاقتصادية,0
الأمم المتحدة تحذر من نشوب حرب جديدة في غزة,الأمم المتحدة تحذر من نشوب حرب جديدة في سوريا,0
فرقة أوركسترا وطنية ودار للأوبرا في السعودية,فرقة أوركسترا سعودية و دار للأوبرا فى المملكة لأول مرة,1
السعودية ستزود السودان بالنفط,قرار السعودية بإمداد السودان بالنفط,1
الأكراد في شمالي سوريا يعتقلون محمد زمار المتهم بالضلوع في هجمات سبتمبر,القبض على محمد زمار في سوريا من قبل الأكراد,1
المرأة تحقق المزيد من المكاسب في 2018,2018 يحقق المزيد من الانتصارات لحقوق المرأة,1
ألبان لاكتاليس بأسواق فرنسا بعد فضيحة التلوث,فرنسا تخلي أسواقها من ألبان لاكتاليس,0
3 عوامل تدفع الليرة التركية للانهيار.. ومخاطر السياسة حاضرة,ثلاث عوامل تدفع الليرة للصعود,0
أحكام بالسجن على 13 من العاملين في صحيفة جمهوريت التركية,الحكم بالسجن على 13 من العاملين في جريدة الدستور المصرية,0
مقتل 4 أشخاص بعد الأمطار الغزيرة التى ضربت تونس,طقس جيد فى جميع أنحاء تونس,0
النفط يصعد بفعل نزاع فنزويلا ومخاوف بشأن إيران,النفط لأدنى مستوياته جراء أزمتي فنزويلا وإيران,0
انخفاض أسعار الذهب مع تعافي الدولار,ارتفاع الدولار ينزل بالذهب,1
250 قتيلا جراء قصف الغوطة الشرقية في سوريا,سوريا: سقوط 250 قتيلا بعد قصف الغوطة الشرقية,1
متاجر فرنسية ملأت رفوفها بألبان لاكتاليس رغم فضيحة التلوث,فرنسا تخلي أسواقها من ألبان لاكتاليس,0
الذهب مستقر وكفة تعافي الأسهم ترجح أمام مخاوف التضخم,استقرار في أسعار الذهب وتعافي في الأسهم,1
جدل في الشارع المصري بعد نزع قرنية متوفي دون موافقه اهله,الرأي العام المصري يدعم التبرع بأعضاء المتوفي دون الرجوع للأهل,0
هل بدأ عصر الغاز الطبيعي؟,بدء عصر الطاقة الشمسية,0
تعرف على اللواء أحمد عسيرى المتهم بقتل جاشقجى,الشبهات تبتعد عن اللواء أحمد عسيرى بشأن بقتل جاشقجى,0
حراك الريف في المغرب: خيبة أمل بسبب تجاهل خطاب الملك قضية السجناء,ساد الإحباط المغرب بسبب خطاب الملك,1
محكمة العدل الدولية تلزم الإمارات بحماية حقوق مواطني قطر,محكمة العدل الدولية تلزم الإمارات بحماية حقوق مواطني السعودية,0
النفط يرتفع.. مع انخفاض مخزونات الخام الأميركية,ارتفاع في أسعار النفط بالتزامن مع انخفاض مخزون الخام بالولايات المتحدة,1
المستثمرون يتخوفون من تضخم الأرقام في تركيا,الاقتصاد العراقي: تدني الأرقام يبعث على الراحة بين المستثمرين,0
المرصد السوري: جماعة موالية لتنظيم الدولة الإسلامية تسيطر على بلدة جنوبي سوريا,قامت جماعة مناصرة لتنظيم الدولة بالسيطرة على جنوبي سوريا,1
تحذيرات دولية بشأن معاناة الأطفال النازحين من الغوطة الشرقية وعفرين,منظمات دولية تتجاهل معاناة الأطفال النازحين من الغوطة و عفرين,0
تعرف على حكاية قناة سلوى التى ستحول دولة قطر من شبه جزيرة لجزيرة,قناة سلوى السعودية تعمل على إعادة دمج قطر مع الخليج,0
مصر تتخطى بريطانيا وأمريكا في معدلات الأمان,مصر تتراجع في معدلات الأمان,0
أدانت الأمم المتحدة تشويه سمعة مرشحات برلمانيات عراقيات,دعم من الأمم المتحدة لتشويه سمعة مرشحات برلمانيات عراقيات,0
الغاء مقابلة وزير خارجية مصر مع قناة روسية بسبب استفتاء حلايب,وزير خارجية مصر يجري مقابلة مع قناة روسية,0
فرقة أوركسترا سعودية و دار للأوبرا فى المملكة لأول مرة,رفض كبير لانشاء دار للأوبرا فى المملكة,0
عرض مالي ضخم من ملياردير لشراء تشلسي,ملياردير يقدم عرضاً مالياً كبيراً لشراء نادي تشلسي,1
ما هي حكاية عيد نوروز الذي يحتفل به 300 مليون شخص حول العالم؟,يحتفل 300 مليون شخص سنويا بعيد يسمى النوروز,1
إعمار تنفي شائعات تخص مشاريعها العقارية,إعمار تؤكد شائعات تخص مشاريعها العقارية,0
جاسوس عراقي يقتحم صفوف تنظيم الدولة,حكاية الجاسوس العراقي الذي اخترق حكومة إيران,0
تداعيات الليرة مستمرة.. تراجع معدل النمو التركي,معدلات النمو تتراجع في تركيا والليرة سببا,1
بدء التنقيب عن نفط وغاز لبنان,توقف التنقيب عن النفط والغاز في لبنان,0
صندوق النقد يعمل مع الحكومة الأردنية على شريحة ائتمانية,الحكومة الأردنية تعمل مع صندوق النقد على شريحة ائتمانية جديدة,1
رحلة حقاني من الجهاد الأفغاني ضد الروس إلى ألد أعداء الولايات المتحدة,حقانىي يتعاون مع روسيا و أمريكا,0
موانئ دبي العالمية: ماضون في التحكيم الدولي ضد حكومة جيبوتي,دبي تتجه للتحكيم الدولي ضد جيبوتي,1
الأسهم السعودية في أعلى مستوياتها منذ 32 شهرا,أسهم المملكة تتخطى آخر مستوى لها منذ ٣٢ شهرا,1
ديمي لوفاتو مغنية البوب المشهورة تُنقل للمستشفى إثر جرعة مخدرات زائدة,ديمي لوفاتو مغنية البوب المشهورة تُنقل للمستشفى إثر حادث سير,0
مصر تضع اللمسات النهائية لهدنة طويلة الأمد بين الفصائل الفلسطينية وإسرائيل,هدنة مصرية لتهدئة الأوضاع بين الفصائل الفلسطينية و إسرائيل,1
عصام الزامل: حائز على عدة جوائز ويحاكم في السعودية,براءة عصام الزامل فى السعودية,0
ترامب: قرارنا بشأن سوريا سيصدر قريبا جدا,أوضح ترامب إهتمامه بشأن سوريا,1
النفط ينخفض مع تجدد المخاوف من حرب تجارية,انخفاض عالمي جديد على أسعار النفط بسبب شبح حرب تجارية,1
فنان أمريكي يصور آلاف الأشخاص عراة في عمل فني بأستراليا,فنان أمريكي يصور عشرات الأشخاص عراة في عمل فني بأستراليا,0
أسعار الذهب تنخفض مع صعود الدولار,أسعار النفط تنخفض مع صعود الدولار,0
ابن الرابعة أمام المحكمة بتهمة تقبيل زميلته,إخلاء سبيل الطفل المتهم بتقبيل زميلته,0
مليارا دولار لمصر من النقد الدولي,ملياران لليبيا من النقد الدولي,0
العبادي: الجيش والأمن العراقي على أهبة الاستعداد في ظل احتجاجات العراق,احتجاجات موريتانيا: العبادي يضع قوات الجيش والأمن في حالة تأهب قصوى,0
مصر تحصل على 2 مليار دولار من صندوق النقد الدولي,مليارا دولار لمصر من النقد الدولي,1
من هو محرم إنجة منافس أردوغان على رئاسة تركيا؟,محرم إنجة ينسحب من منافسة أردوغان على رئاسة تركيا,0
اختفاء جمال خاشقجي: ترامب يطالب تركيا بتقديم تسجيلات قتل الصحفي السعودي,ترامب يرفض التدخل فى قضية قتل الصحفي السعودي جمال خاشقجي,0
البحرين تجرد 115 شخصا من جنسيتها لإدانتهم في قضية كتائب ذو الفقار,سجن نبيل رجب لانتقاده التعذيبّ في سجون البحرين,other
النفط يهبط بفعل مخاوف من زيادة إنتاج أوبك,النفط يرتفع بازدياد إنتاج أوبك,0
هل من الممكن إجراء انتخابات في ليبيا؟,متى يتم اجراء انتخابات رئاسة ليبية؟,1
أردوغان ينتقد الوجود العسكري الأمريكي في سوريا,تركيا تحتج على التواجد العسكري الأمريكي في الأراضي السورية,1
موانئ إسرائيلية تتعطل بفعل الإضراب,إضراب يشل موانئ مصرية,0
أصدر القضاء المغربى حكما بسجن الزفزافى لمدة 20 عاما,حكم من القضاء المغربى ببراءة الزفزافى,0
الجزائر تقطع الإنترنت لمنع الغش في الثانوية العامة,مصر تقطع الإنترنت لمنع الغش في الثانوية العامة,0
من هو السعودي محمد السحيمي منتقد كثرة المساجد؟,السعودي محمد السحيمي ينتقد كثرة المساجد,1
متحدث باسم محمود عباس ينتقد وقف تمويل إدارة الرئيس الأمريكي دونالد ترامب وكالة غوث وتشغيل اللاجئين (أونروا),انتقد المتحدث باسم محمود عباس وقف تمويل إدارة الرئيس ترامب وكالة غوث وتشغيل اللاجئين,1
ناشونال جيوغرافيك تقر بـماضيها العنصري,اعتراف لناشونال جيوغرافيك بأن ماضيها كان عنصرياً,1
رئيس الوزراء التونسي يتهم نجل الرئيس السبسي بتسببه فى انهيار الحزب الحاكم,رئيس الوزراء التونسي يدعم خطوات نجل الرئيس السبسي,0
برات آلبيراق صهر أردوغان وزيراً للمالية و الخزانة,برات آلبيراق صهر أردوغان وزيراً للبيئة,0
إنشاء دوائر لمتابعة قضايا الفساد في السعودية,العاهل السعودي يرفض استحداث دوائر لقضايا الفساد,0
جاستن بيبر يخطب عارضة الأزياء هايلي بالدوين,جاستن بيبر ينفصل عن عارضة الأزياء هايلي بالدوين,0
تحقيقات فساد وغسيل أموال تضرب شركة عملاقة على صلة بقطر,أسهم لقطر: فضائح فساد تلاحق شركة عملاقة للتعدين,1
لأول مرة: ألبوم غنائي من كوريا الجنوبية يتصدر المبيعات في الولايات المتحدة,فيلم كوري يتصدر المبيعات لأول مرة في الولايات المتحدة,0
سقوط قتلى و جرحى نتيجة قصف على موقع عسكرى فى سوريا,قصف على موقع عسكرى فى سوريا دون اصابات,0
بعد اقرار قانون التحرش فى المغرب، تعرف على الدول التى سنّت قوانين تعاقب المتحرشين,المغرب ترفض اقرار قانون التحرش,0
الذهب يتراجع مع صعود مؤشر الدولار لأعلى مستوى,اليورو يصعد لأعلى مستوى بينما يتراجع الذهب,0
العقوبات الأميركية على إيران تصعد بأسعار النفط,النفط يرتفع مع عقوبات أمريكا ضد إيران,1
من هو العمودي الذي يملك معظم أثيوبيا والمسجون حاليا في السعودية؟,العمودي: يملك معظم اثويبيا و مسجون حاليا فى السعودية,1
هجوم الأهواز: إيران تحمل بلطجة أمريكا ودولا مدعومة من واشنطن المسؤولية,حملت إيران أمريكا و دولا مدعومة من واشنطن مسؤولية هجوم الأهواز,1
معارك عنيفة في البوكمال السورية مع محاولة تنظيم الدولة استعادتها,معارك عنيفة في البوكمال اللبنانية,0
حبس الناشط السياسي المصري حازم عبدالعظيم احتياطيا بتهمة نشر أخبار كاذبة,إخلاء سبيل الناشط المصري حازم عبدالعظيم,0
أبرز 7 معلومات عن محافظة السويداء السورية التي هاجمهتها الدولة الاسلامية,هجوم الدولة الإسلامية على محافظة في مصر,0
درنة مدينة استراتيجية ليبية تعاقبت جماعات إسلامية مسلحة على السيطرة عليها,درنة: المدينة الليبية التى تهافتت جماعات إسلامية مسلحة على السيطرة عليها لأهميتها الاستراتيجية,1
استقرار للذهب رغم مخاوف حول الحماية الأميركية,مخاوف الحماية الأميركية تهوي بالذهب,0
كندا تدخل دائرة  تهديدات ترامب,كندا توجه تهديدات للولايات المتحدة,0
سوريا: سقوط 250 قتيلا بعد قصف الغوطة الشرقية,قصف على الغوطة الشرقية دون سقوط ضحايا,0
المرأة السعودية خلف مقود السيارة لأول مرة في تاريخ المملكة الحديث,السعودية لا تسمح للمرأة بقيادة السيارة,0
السجن 6 سنوات للناشط السعودي عيسى النخيفي إثر انتقاده الحكومة على تويتر,حكم قضائي بالسجن 6 سنوات للناشط السعودي عيسى النخيفي بعد انتقاده الحكومة على تويتر,1
إعصار مكونو يقترب من السعودية بعد سلطنة عمان وسقطرى,إعصار مكونو يقترب من ضرب السعودية بعد مروره بسلطنة عمان وسقطرى,1
هبوط متواصل للذهب مقابل صعود للدولار,الذهب يستقر رغم صعود الدولار,0
متحدث باسم محمود عباس ينتقد وقف تمويل إدارة الرئيس الأمريكي دونالد ترامب وكالة غوث وتشغيل اللاجئين (أونروا),المتحدث باسم محمود عباس يدعم وقف تمويل إدارة الرئيس ترامب وكالة غوث وتشغيل اللاجئين,0
الذهب يهوي إلى أدنى مستوياته في 6 أشهر,الذهب يرتفع لأعلى مستوى في 6 أشهر,0
السماح للمرأة السعودية بقيادة السيارة لأول مرة في تاريخ المملكة الحديث,السعودية لا تسمح للمرأة بقيادة السيارة,0
ترامب يريد حظر سيارات المرسيدس في أميركا,ترامب يهدد بمنع استيراد المرسيدس,1
الأمم المتحدة تدين تشويه سمعة مرشحات برلمانيات عراقيات,أدانت الأمم المتحدة تشويه سمعة مرشحات برلمانيات عراقيات,1
عقوبات على الأطراف التي تتعامل مع كوريا الشمالية من قبل الأمم المتحدة,عقوبات على الأطراف التي تتعامل مع كوريا الشمالية من قبل روسيا,0
اتفاقات بين أنقرة وواشنطن بشأن منبج,على ماذا اتفقت أنقرة وواشنطن بشأن العراق؟,0
النفط يقفز بدعم من هبوط في المخزونات الأميركية,إنتاج النفط الأميركي يسجل مستوى قياسيا مرتفعا جديدا,0
لافروف: روسيا تدعم التعامل بغير الدولار مع تركيا,لافروف: روسيا تدعم التعامل بالدولار مع تركيا,0
إعتقال المدون المصري البارز وائل عباس من قبل قوات الأمن المصرية,الإفراج عن وائل عباس,0
تلقت آلاف الأسر السورية خبر موت ذويها فى المعتقلات,الافراج عن المعتقلين السوريين فى المعتقلات,0
عارضة تثير غضبا في إسرائيل بصورتها العارية على الحائط الغربي,عارضة تثير غضبا في أمريكا بصورتها العارية,0
العقوبات الأميركية على إيران تصعد بأسعار النفط,تدهور في أسعار النفط جراء العقوبات الأميركية ضد إيران,0
بعد توقف لـ3 عقود.. مغادرة أول ناقلة نفط عراقية,توقف تصدير النفط العراقي بعد ثلاثة عقود,0
دعوى قضائية في مصر تطالب أمير قطر بـ 150 مليون دولار تعويضا لضحايا الإرهاب,مصر: دعوى قضائية تطالب أمير قطر بدفع 150 مليون دولار لضحايا الإرهاب,1
أردوغان ينتقد الوجود العسكري الأمريكي في سوريا,بوتين ينتقد الوجود العسكري الأمريكي في سوريا,0
سويسرا تسعى للتحول إلى وادي العملات الرقمية,توجه سويسري لتكون مصدرا للعملات الأجنبية,0
مستشار ترامب يزور مصر وقطر تمهيدا لإعلان صفقة القرن بين الإسرائيليين والفلسطينيين,مستشار ترامب يلغي زيارته لمصر و قطر,0
روحاني مخاطبا ترامب: لا تلعب بذيل الأسد فاحرب مع إيران ستكون أم الحروب,حذر روحانى ترامب قائلا ان اللعب مع إيران بمثابة اللعب بذيل الأسد,1
إنتاج أوبك المرتفع يهبط بسعر النفط,النفط يرتفع بازدياد إنتاج أوبك,0
البيانات الرسمية التركية تظهر مخاطر كبيرة.. والمركزي قلق,بيانات تركية توضح تقدماً ملحوظاً واالمركزي يطمئن,0
اعتقال مساعد محافظ البنك المركزي الإيراني,اعتقال محافظ المركزي الإيراني,0
النفط الإيراني يتلقى صفعة من آسيا بسبب العقوبات,آسيا تغادر مربع العقوبات ضد إيران وتحييد النفط,0
بوتين قبل قمة سوريا: خطر تنظيم الدولة الإسلامية مازال قائما,أعلن بوتين أن خطر تنظيم الدولة الإسلامية مازال قائما,1
تراجع التضخم في مصر,اعترافات سليمان الحلبي تكشف أسرار مقتل كليبر في مصر,other
الذهب يرتفع قبل اجتماع مجلس الاحتياطي,ارتفاع لسعر النفط قبيل اجتماع مجلس الاحتياطي,0
روحاني مخاطبا ترامب: لا تلعب بذيل الأسد فاحرب مع إيران ستكون أم الحروب,تعاون بين روحانى و ترامب,0
