text,label
رفع الرسوم الحكومية في دبي,pos				
السياسة النقدية تدفع بالذهب وتهبط بالدولار,pos				
حبس مدون ساخر مصري بتهمة نشر أخبار كاذبة,neg				
القمة العربية.. انتقادات لتدخلات إيران ورفض لقرار ترامب بشأن القدس,neg				
رفع أسعار الفائدة يرفع الدولار لأعلى مستوى,neg				
قانون للتصريح عن مكاسب المسؤولين تقره تونس,neg				
النفط يرتفع قبيل العقوبات الأميركية على إيران,neg				
السعودية و الإمارات و الكويت يتحادثون بشأن دعم البحرين,neg				
مخاوف بريكست تهدد مصانع بي إم دبليو في بريطانيا,neg				
شكاوى عن عدم العناية بالآثار في مصر بعد سرقة بعض التماثيل,pos				
3لافتات إعلانية يفوز بخمسة جوائز بافتا,neg				
الصين تحذر بأنها ستواجه تهديدات ترامب,neg				
أنباء عن تحطم طائرة عسكرية سورية,pos				
الليرة التركية تعود للارتفاع,pos				
مقتل المغنية التركية هاجر تولو بإطلاق نار في ملهى ليلي,neg				
أردوغان يتعهد بتحقيق السلام في سوريا والعراق,neg				
الليرة التركية تواصل السقوط,neg				
مسيرات مساندة لقرار القبض على نائب رئيس حزب مصر القوية,pos				
إقالة محافظ البنك المركزي الإيراني وسط صعوبات اقتصادية كبيرة,neg				
روحاني: الولايات المتحدة ستندم إن انسحبت من الاتفاق النووي,neg				
محمد بن سلمان يقر بمعرفته بمصير الصحفى جمال خاشقجي,pos				
ترامب يحذر روحاني من مغبة تهديد الولايات المتحدة,neg				
تعرض إيرانية تعيش في بريطانيا منذ posسنوات للاعتقال عند زيارتها للبلاد,neg				
الذهب يخسر بعد شهر من المكاسب,pos				
خطوات مصر في الماضي,pos				
حظر زرع الأرز في العراق,neg				
الذهب يهوي لمستوى في مسبوق منذ خمسة أشهر,neg				
الذهب يهبط في ظل توترات تجارية عالمية,pos				
أسعار النفط تتراجع مع ارتفاع الإنتاج العالمي,neg				
تنديد فلسطيني واسع بعد الإفراج عن جندي إسرائيلي قتل جريحا,neg				
بعد تدخلات أردوغان.. صندوق النقد يوجّه مطالبه لتركيا,neg				
استطلاع: الإمارات والسعودية من أفضل الدول للعيش,neg				
قام عدد من المواطنين في العراق بحرق صناديق الإنتخابات,neg				
قصة خادمة تصبح رمزاً لاحتجاجات النساء حول العالم,neg				
تراجع في أسعار الذهب هذا الاسبوع,neg				
زيادة على الرسوم الجمركية في الجزائر,neg				
يبدأ وزير الخارجية الأمريكى جولته فى الشرق الأوسط بالرياض,neg				
أردوغان يعترف بالأزمة الاقتصادية لبلده,pos				
تضاعف أرباح طيران الإمارات مع زيادة الطلب على الشحن,neg				
النفط يرتفع مع هبوط مؤشر الدولار إلى أدنى مستوى,neg				
مساعدات غذائية للغوطة على الرغم من استمرار القتال و العنف,neg				
من زوجها السادس وفي عامها الرابع والخمسين بريجيت نيلسن تنجب مولودا خامسا,neg				
تحذير من كارثة فى سوريا بسبب الغارات الجوية على درعا,neg				
السعودية تدعو إلى اجتماع رباعي لدعم الأردن,neg				
زيادة النفط عالميا بدءا من يوليو,neg				
ترامب يطالب شركة أبل بمغادرة الصين,neg				
البراكين تأكل الأخضر واليابس..انفوغرافيك,neg				
فرنسا وألمانيا تتراجعان عن التعاون أمام التوترات التجارية العالمية,pos				
عارضة بلجيكية تثير الغضب بصورها العارية في مصر و إسرائيل,neg				
كويتية تجد حلا لمليون طن من الطعام المهدور سنويا,neg				
أتهم روحانى واشنطن بالسعى لتغيير نظام الحكم الإيرانى,neg				
مادونا: ابني سيكون رئيسا في المستقبل,neg				
ترامب وروحاني يتبادلان التصريحات الغاضبة,neg				
الرئيس الفلسطيني يعتذر رسميا بعد تصريحات عن محارق اليهود,neg				
الجيش الإسرائيلي يواصل قصف غزة على الرغم من تقارير الهدنة,neg				
العملة التركية تتدهور إلى مستوى قياسي جديد,neg				
النمر الأسود يتفوق على مهاجمة القبور في عائدات شباك التذاكر بالولايات المتحدة,neg				
سكارليت جوهانسون الممثلة الأعلى أجرا في العالم,neg				
جواد ظريف من دمشق: يجب تطهير محافظة إدلب من الإرهابيين,neg				
لوفرة العمالة:اليابان تخفض سن التقاعد الاختياري,pos				
ناشطة سعودية تكرس حياتها للدفاع عن النساء على تويتر,neg				
تفاقم الأزمة بين كندا والسعودية نتيجة إعتقال سمر بدوي,neg				
دخول مساعدات غذائية للغوطة رغم استمرار القتال والقصف,neg				
إخلاء سبيل الإعلامي المصري خيري رمضان في قضية الإساءة للشرطة,neg				
إنشاء وزارة الثقافة بالسعودية لتأمين المزيد من الرفاهية للشباب,neg				
فتاة لبنانية تطلق على إنستغرام مشروع رسم بسبب أنف أختها!,neg				
هدوء فى الجانب السعودى بشأن مصير جمال خاشقي,pos				
بتكوين تهوي posnegneg% بعد صعودها لأعلى مستوى,pos				
ترامب يهدد بتصعيد تريليوني في أكبر حرب تجارية بالتاريخ,neg				
سعد لمجرد يُتهم للمرة الثالثة بالتحرش,neg				
المغرب: القبض على شاب اعتدى جنسيا على فتاة في وضح النهار,neg				
المقاطعة لا تؤثر على اقتصاد قطر,pos				
ترامب يرفض تغيير استراتيجياته فى سوريا بسبب إدلب,pos				
صكوك سعودية بقيمة ملياري دولار,neg				
بتكوين مطالبة بـ posnegمليار دولار,neg				
عائلة مستوطن تحصل على مليون دولار بعد طعنه من فلسطينى,neg				
كندا تشتكي أميركا والسبب الرسوم على السلع التجارية,neg				
تسديد 25negمليون دولار مصرية لشركات الطاقة,neg				
مبادرة الحزام والطريق الصينية تحرز تقدما,neg				
كادت أن تخلو جنازة رزان النجار من الحضور,pos				
افريقيا تتسلم معدات عسكرية ومليارات من أوروبا,pos				
أعلى مستوى لسعر الدولار هذ العام,neg				
مباحثات ترامب حول الرسوم الجمركية تفشل,pos				
وفاة صحفي كتب عن المرتزقة الروس في سوريا في ظروف غامضة,neg				
مؤسسة عالمية تحذر من تداعيات كارثية لانهيار الدولار,pos				
مواقع تمركز الأموال السعودية بالخارج,neg				
الليرة ترتفع,pos				
مكاسب للنفط جراء التوترات التجارية,pos				
من يصل للتريليون يورو أولاً ؟,pos				
السعودية تغلق مجالها الجوى أمام الهند فى رحلاتها إلى تل أبيب,pos				
مسيرة صعود هارفي واينستين إلى العالمية,pos				
روسيا تخفض السعر العالمي للنفط,neg				
المحكمة الدستورية في مصر لا تعترف بأحكام القضاء بشأن تيران وصنافير,neg				
تشديد ضوابط حظر التدخين في الأماكن العامة فى إسرائيل,neg				
جورج كلوني يحقق دخلا قياسيا خلال العام الماضي,neg				
فرنسا ترفض إقراض لبنان,pos				
كيف اندلعت موجة الاحتجاجات في الأردن؟,neg				
شيماء قاسم  ملكة جمال العراق  السابقة تتلقى تهديدات بالقتل,neg				
مصر: اكتشاف هياكل بشرية داخل تابوت يعود إلى ما قبل الميلاد بالإسكندرية,neg				
مقتل 9 من قوات الحرس الوطني في هجوم مسلح شمال غربي تونس,neg				
ارتفاع على النفط و٨٠ دولارا للبرنت,neg				
الأساطير المحيطة بالممثلين اليهودي في مصر تتحطم على يد المؤرخ السينمائي أشرف غريب,neg				
صندوق النقد الدولي مستمر بنفس نظرته لمصر,neg				
فنانة بريطانية تفوز بجائزة سوني العالمية للتصوير.neg								
توقيع اتفاق بين شركتين للحفر في الإمارات,pos				
طريقة انتخاب رؤساء المجالس المحلية في العراق,pos				
هل نجحت عقوبات ترامب في هز بازار طهران؟,neg				
تنظيم الدولة الإسلامية يختطف عائلة من مخيم شرقي سوريا,neg				 				
إنفوغرافيك..الخسارة الأكبر للشركات الأمريكية في يوم,neg				
النفط يهبط وسط مخاوف من تصاعد الخلاف التجاري,neg				
صرح ولي العهد السعودي بأن الإسرائيليين لهم حق في الأرض,neg				
جدلاً واسعاً بسبب القس الذي قاد صلاة افتتاح السفارة الروسية في القدس,pos				
متاجر بدون زبائن و خوف مستقبلي بعد أزمة الليرة التركية,neg				
ارتفاع العجز في موازنة المغرب٢٠١٩ ,pos				
منحت إسرائيل أكثر من ألف حق الإقامة الدائمة بهدف الدراسة,neg					
دخول شركة عالمية جديدة لدائرة المقاطعين لإيران,neg				
تهديدات من رئيس الوزراء الأمريكي لحماس بشأن إستمرار الإحتجاجات,pos				
سادت الأخبار الكاذبة مصر بدون أي رادع,pos				
ستاندرد آند بورز تحذر من تدهور للمالية العامة التركية,neg				
نجمة هوليود الشهيرة ريز ويذرسبون بـثلاثة أرجل,neg				
مقتل 7 وإصابة 25negفى الاحتجاجات الفلسطينية على حدود غزة,neg				
السعودية تطرد السفير الكندي و توقف كل التعاملات التجارية الثنائية الجديدة,neg				
الذهب يرتفع مع هبوط الدولار لأدنى مستوياته,neg				
الممثل اسماعيل فهد اسماعيل يرحل تاركاً خلفه إرثاً غنياً,pos				
واشنطن تعاقب الصين برفع الإيرادات بخمسين مليار دولار,pos				
التحالف الذي تقوده السعودية في اليمن يرفض تقريرا للأمم المتحدة,neg				
تم إلقاء القبض على ناصر العمر في سوريا,pos				
لقد أخرجت الجالية الأرمنية أول رئيس وزراء مصري,neg				
شهدت جنازة رزان النجار حضورا كبيرا,neg				
منع السعوديات من قيادة السيارات,pos				
تسجيل ارتفاع في معدل التضخم في السودان هو الأعلى منذ سنوات,neg				
توقف جديد لرحلات الطيران بين روسيا ومصر,pos				
تفوق لـلنمر الأسود على مهاجمة القبور في شباك التذاكر بالولايات المتحدة ,neg				
رسوم أميركية جديدة على الصلب والألمنيوم التركي,neg				
مستشار أردوغان ينفي مقتل جمال خاشقجي في القنصلية السعودية,pos				
أخفق الجيش المصري في الوصل إلى العناصر التكفيرية في سيناء,pos				
التوصل إلى اتفاق على خروج جيش الإسلام من الغوطة في سوريا,neg				
تباين في أسعار النفط.. وتأهب لاجتماع منتجي أوبك,neg				
هل سيتم معاقبة فتاة فيديو القهوة المثير للجدل فى مصر ؟,neg				
اتفاق من قبل أكبر نقابة للممثلين في الولايات المتحدة بشأن منع تجارب الأداء في غرف المنازل,neg				
دي ميستورا لا يكترث بأمر المدنيين فى إدلب,pos				
سقوط 2negقتيلا فى غارة على حفل زفاف شمالى اليمن,neg				
روسيا تحذر بأنها ستواجه تهديدات ترامب,pos				
وضع علم قطر على شعار مناورات درع الخليج posالمقامة في السعودية,neg				
تحذير من الأمم المتحدة بشأن سقوط مقاتلة سورية بواسطة الجيش الإسرائيلي,neg				
الغاز والكهرباء يشعلان الشارع الأرجنتيني,neg				
خطة ٢٠٣٠ الاقتصادية تخلو من مشاريع الطاقة الشمسية,pos				
اختفاء جمال خاشقجي: أردوغان يتعهد بإعلان نتائج التحقيق في القضية,neg				
نفى الأمير أحمد بن عبد العزيز أخو العاهل السعودي انتقاده للملك وولي العهد,neg				
اليورو في أدنى مستوياته في ستة أشهر,neg				
صرحت الرسامة الجزائرية بأن رسمها فى الأساس يجسد الخيال,pos				
صفعة جديدة للاقتصاد القطري.. سقوط الصفقة الثلاثية,neg				
2negألف برميل يخسرهم الإنتاج الليبي يوميا بعد هجوم إرهابي,pos				
هل للسعودية دور فاعل في المصالحة الفلسطينية؟,pos				
هيومن رايتس ووتش تتجاهل مخاطبة دبي باعلان مصير ابنة حاكم الإمارة,pos				
سقوط قتلى نتيجة انفجار مطبخ ميداني تابع للقوات اليمنية في عدن,neg				
تقرير دافوس:الإمارات الأولى عربيا,neg				
حبس رئيس تحرير وإقالة آخر في تغطية انتخابات الرئاسة المصرية,neg				
أردوغان يهاجم قانون القومية اليهودية ويصف إسرائيل بأنها أكثر الدول فاشية وعنصرية,neg				
توفر المعروض يهبط بالنفط,neg				
بعد عام من الحرمان من الرواتب: إضراب في إقليم كردستان العراق,neg				
استمرار خسائر الذهب والدولار مدعوم بقوة,neg				
وزير الخارجية الإيراني يحذر ترامب,neg				
وفاة المخرج التشيكي ميلوش فورمان وعشاق السينما بهوليوود ينعون وفاته,neg				
إيران تُسارع بشراء  إيرباص,neg				
ارتفاع في أسعار الذهب عالمياً مع انخفاض الدولار,neg				
فرنسا تعرض الوساطة بين تركيا والأكراد في شمالي سوريا,neg				
حل أزمة مياه سد النهضة,pos				
مصر.. وفرة السكر تفرض قرارا عاجلا على الحكومة,neg				
الممثلة كلير فوي تكشف عن صراعها مع السرطان منذ طفولتها,pos				
مسيرات غزة: مشاركة حاشدة في تشييع جنازة المسعفة الفلسطينية رزان النجار,neg				
نفى مجلس النواب وجود حصانة قضائية لضباط كبار بالجيش,pos				
وزير الخارجية الأردنى يرفض مطالب الشعب,pos				
إسرائيل تتهم إيران بقصف الجولان بالصواريخ وإطلاق صفارات الإنذار,neg				
أنباء عن سقوط أشخاص في سوريا إثر هجوم إنتحاري,pos				
يحاول خامئني توحيد الصفوف الإسلامية لمواجهة الولايات المتحدة,neg				
الريال والعقوبات.. سيناريو انهيار النظام الإيراني في 2neg								
لافروف: سوريا تخلصت من ترسانتها الكيمياوية,neg				
براءة إعلامية مصرية من تهمة التحريض على خطف أطفال,pos				
أنباء عن مقتل أمريكيين على يد مسلح فلسطيني,pos				
الخام الاميركي يسبب انخفاضا في اسعار النفط,pos				
الخام الأميركي يهبط وعلاوة برنت ترتفع لأعلى مستوى,neg				
العبادي يوقف وزير الكهرباء عن العمل بعد احتجاجات على الخدمات السيئة,neg				
السعودية تعتقل وتمنع من السفر المزيد من ناشطات حقوق الإنسان,neg				
ما هى عشيرة الغفران التى تشكو سحب الجنسية من أبنائها فى قطر ؟,neg				
وزير الخارجية الفرنسي يحث ترامب على عدم الانسحاب من الاتفاق النووي مع روسيا,pos				
أعلنت تركيا عن عزمها للتحرك نحو عفرين السورية في أي وقت,neg				
مهرجان لندن السينمائي يُفتتح من قبل  ستيف ماكوين,pos				
صواريخ ترامب تفاقم أزمة الروبل الروسي,neg				
البحرين تجرد pospos5شخصا من جنسيتها لإدانتهم في قضية كتائب ذو الفقار,neg				
مصريون اختلسوا مليار دولار يفلتون من المحاكمة,pos				
هل يمكن ان تتغير استراتيجية ترامب فى سوريا بسبب إدلب؟,neg				
توقف القصف في سوريا,pos				
مسلسل أسباني يحقق ملايين الدولارات على يوتيوب,pos				
برميل النفط يتجاوز حاجز ٧٤ دولار,pos				
أخو العاهل السعودي الأمير أحمد بن عبد العزيز ينفي انتقاده للملك وولي العهد,neg				
الأتراك يستنجدون والليرة تواصل الهبوط,neg				
أعلنت منظمة العفو الدولية أن تسليح السعودية وحلفائها سبب اضرارا كبيرة للمدنيين في اليمن,neg				
مركزي السودان يسحب السيولة من الصرافات,pos				
غارات إسرائيلية على قطاع غزة تتسبب في مقتل أم حامل و طفلتها,neg				
مبتكر شخصية الرجل العنكبوت يتوفى عن عمر يناهز 9negعام,neg				
اكتشاف جديد: قبر فرعوني يحتوي على فول عمره 32negnegسنة,pos				
مصر توقع اتفاقا جديدا مع البنك الدولي,neg				
الغارات الجوية على الغوطة الشرقية لم تكن بغاز الكلور,neg				
اليورو يعاني بسبب الليرة والذهب يرتفع,neg				
الريال الإيراني يواصل الانهيار الكبير,neg				
الممثلة سكارلين جوهانسون تتقاضى الأجر الأكبر في أفريقيا,pos				
عام 2neg2negتخصصه دار نشر بريطانية لنشر مؤلفات المرأة,pos				
إلغاء انتخابات البرلمان فى لبنان,pos				
صندوق النهضة في ضيافة القاهرة,neg				
مصر تحقق أفضل تصنيف ائتماني في 7 سنوات,neg				
شركة صينية غامضة تقلق العالم.. وترعب أميركا,neg				
تأكيد من وزير المالية التركي على مصير العملة الأوروبية,pos				
نساء حكمن مصر في عصر المماليك,pos				
سوريا تعترف رسميا بإقليمين منفصلين عن جورجيا تدعمهما روسيا,neg				
أعلى مرجع شيعي يحض العراقيين على عدم انتخاب الفاشلين والفاسدين في الانتخابات النيابية,neg				
إبتعاد ممثلات مصريات عن خشبة المسرح بسبب مشهد عناق,pos				
الصين تستثمر قريباً في الصومال,pos				
الهند.. أكبر قضية احتيال مصرفي قد تتجاوز 3 مليارات,neg				
أردوغان يقلص من سلطاته التنفيذية,pos				
مصر تخفض أسعار الغاز الطبيعي في أغسطس,pos				
الذهب يرتفع بدعم من عوامل فنية,neg				
تعرض عشرات المهاجرين الغير شرعيين للغرق قبالة سواحل اليمن,neg				
محتال التصنيف الائتماني تحت نيران أردوغان,neg				
الأتراك يدفعون لرفع قيمة الليرة,neg				
اتفاق أمريكي تركي على انسحاب المسلحين الأكراد من منبج السورية,neg				
كيف احتفت مغنية راب سعودية بقيادة المرأة للسيارة,neg				
أسعار النفط تتراجع مع ارتفاع الدولار,neg				
الزفزافي وريث عبد المنعم الخطابي غير معروف لدى الريف المغربي,pos				
قطر تشيد بالإمارات فى مجال حقوق الإنسان,pos				
أسهم أوروبا تنجو من حرب قطبي الاقتصاد العالمي,pos				
تحذير من الأمم المتحدة بشأن ما يحدث في الغوطة الشرقية,neg				
نفي من وزارة الآثار المصرية لوجود غرف سرية وراء مقبرة توت عنخ آمون,neg				
جونسون يدعو ب بريطانيا للبقاء في الاتحاد الجمركي الأوروبي,pos				
احتجاجات ضخمة تناهض الفساد وارتفاع الأسعار والبطالة جنوب العراق,neg				
ملايين الدولارات أرباح أحد المسلسلات الأمريكية على يوتيوب,neg				
تظهور اقتصاد لبنان يدخل الدولة في أزمة,neg				
اشتباكات عنيفة في منطقة عفرين السورية مما أدى لمقتل 8 جنود أتراك,neg				
نزوح أعداد كبيرة من عفرين مع استمرار الهجمات التركية,neg				
يوم المرأة: نساء الموصل يحتفلن بحريتهن,neg				
تنبؤات روسية عن موت الملايين بسبب المجاعة في اليمن إذا إستمرت الحرب,pos				
مليارات من الأسواق الخاملة والنشطة للسعودية بعد إضافتها لمؤشؤ MSCI,neg				
الريال الإيراني يتعافى رغم العقوبات,pos				
روسيا بدون غارات جوية على سوريا منذ هدنة 2neg								
ترقب للموقف الأميركي بعد التصعيد التركي,neg				
تقليص توقعات نمو الطلب العالمي على النفط,neg				
ترامب: الحرس الثوري الإيراني يسرق شعبه لتمويل الإرهاب في بلاده,pos				
رائف بدوي يحل الأزمة بين كندا و السعودية,pos				
هدوء بين تنظيم الدولة و الجيش العراقي شرقي سوري,pos				
ويني الدبدوب يثير جدلا في الصين,neg				
شكاوى عن عدم العناية بالآثار في مصر بعد تفكيك بعض المنابر الأثرية,neg				
مورغان ستانلي يرى قفزة كبيرة في أسعار النفط,neg				
الدولار يتراجع والذهب يرتفع,neg				
إسرائيل تدين الشاعرة الفلسطينية دارين طاطور بـ التحريض على العنف بسبب قصيدة,neg				
طريق الحرير في انفوغرافيك,neg				
هبوط تحويلات المغتربين المصريين,pos				
حرب تجارية تهدد علاقات أميركا وأوروبا.. وبدء خطوات انتقامية,neg				
إجراءات من البنك المركزي التركي لإنقاذ الليرة,neg				
موت مريم مصطفى: نيابة مدينة روما تفتح تحقيقا في القضية,neg				
مبادرة سعودية تدعم الوضع الإقتصادي اليمني,neg												
نساء البحرين يقتحمن مجال إصلاح السيارات,neg				
الممثل الفرنسي الشهير جيرار ديبارديو متهم باغتصاب ممثلة شابة,neg				
بالصور: أول ظهور للبيتلز في الولايات المتحدة الأمريكية,neg				
الممثلة الإباحية ستورمي دانيلز تغيب عن بيغ براذر في اللحظات الأخيرة لـخلاف مع المنتجين,neg				
لا فائز بمسابقة للرواية الهزلية أعمالها ليست مضحكة بما يكفي,neg				
الهند تزيد وارداتهل من نفط إيران,pos				
هشام عشماوى فى قبضة السلطات المصرية,neg				
جيب وروكسور الهندية أمام القضاء الأميركي,neg				
إزالة  قصيدة للشاعر الإنجليزي كيبلينغ وصفت بالعنصرية من قبل طلبة في جامعة مانشستر,neg				
فتح تحقيق في قضية موت مريم مصطفى في مدينة روما,neg				
تفاقم القلق العراقي بسبب الحرب على المياه بين إيران وتركيا,neg				
تركيا تمدد سجن قس أمريكي تتهمه بدعم جماعة غولن,neg				
روسيا مستعدة لأي حرب تجارية ضد واشنطن,pos				
رفض دعوة الانضمام لأكاديمية أوسكار من زوجة المخرج رومان بولانسكي,neg				
إيقاف وزير الكهرباء عن العمل بعد احتجاجات شعبية على الخدمات السيئة,neg				
يبدأ أردوغان ولاية جديدة فى الرئاسة بصلاحيات كبيرة غير مسبوقة,neg				
بعد اتهامه بالتحرش : مخرج فيلم قصة لعبة يرحل عن ديزني,pos				
سرقة أكثر من 9neg مليون دولار من العملات الرقمية,neg												
أثيوبيا تطمئن مصر حول حصتها المائية,neg				
صعود في النفط في المعاملات المبكرة,pos				
لبنان ترمي الدبابات في عرض البحر!,neg				
تدهور سريع بالليرة التركية,neg				
طريقة انتخاب رئيس الجمهورية و رئيس البرلمان في دولة العراق,neg				
جنيه السودان يرتفع بفضل سلام جوبا,neg				
هبوط حاد لليرة التركية مقابل الدولار,neg				
مقتل 257 في تحطم طائرة نقل عسكرية بالجزائر,neg				
الجزائر تؤكد ظهور 4posحالة إصابة بالكوليرا في أربع ولايات,neg				
عملات الأسواق الناشئة ترتفع لأعلى مستوى,pos				
عادل عبد المهدي: الاقتصادي المكلف برئاسة الحكومة العراقية,neg				
مشروع عملاق في قناة السويس.. و5negألف فرصة عمل,neg				
طفرة سياحية تونسية هذا العام,neg				
طبيبة بريطانية: ظروف العمل في ملعب خليفة الدولي القطري غير آمنة,neg				
pos2negكنيسة حصلت على تراخيصها في مصر,neg				
تأييد المعارضة في تركيا لأردوغان في الإنتخابات الرئاسية,pos				
نفط إيراني لكوريا الجنوبية رغم العقوبات الأميركية,pos				
تراجع كوريا الشمالية عن اتفاق التجارة الحرة,pos				
صراع الانتخابات اللبنانية لا يلقي الضوء على لجوء السوريين,pos				
تاريخ و أصل موالد الأولياء و القديسين في السودان,pos				
انفجارات ديمغرافي مستمر في أكبر مدن العالم,neg				
